Company Name,Symbol,Macro Economic Classification,Sector,Industry,Basic Industry,Market Cap,Free Float Market Cap
HBL Engineering Ltd.,HBLENGINE,Industrials,Capital Goods,Industrial Products,Other Industrial Products,16512.5,6693.871464
HCL Technologies Ltd.,HCLTECH,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,401378.2,156257.7391
HDFC Asset Management Company Ltd.,HDFCAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company,121003.7,57276.37746
HDFC Bank Ltd.,HDFCBANK,Financial Services,Financial Services,Banks,Private Sector Bank,1533452.55,1520599.148
HDFC Life Insurance Company Ltd.,HDFCLIFE,Financial Services,Financial Services,Insurance,Life Insurance,163178.16,80932.28751
H.E.G. Ltd.,HEG,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,10054.13,4380.986307
Hero MotoCorp Ltd.,HEROMOTOCO,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,93329.33,60415.90149
HFCL Ltd.,HFCL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,10708.96,7010.096111
Hindalco Industries Ltd.,HINDALCO,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,154979.98,99596.64248
Hindustan Copper Ltd.,HINDCOPPER,Commodities,Metals & Mining,Non - Ferrous Metals,Copper,23305.28,7887.205532
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing,85751.25,38605.12586
Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,591157.16,222661.7095
Hindustan Zinc Ltd.,HINDZINC,Commodities,Metals & Mining,Non - Ferrous Metals,Zinc,179576.06,15538.17753
Home First Finance Company India Ltd.,HOMEFIRST,Financial Services,Financial Services,Finance,Housing Finance Company,12629.75,9569.674798
Honasa Consumer Ltd.,HONASA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,8562.08,3612.762972
Honeywell Automation India Ltd.,HONAUT,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,32536.8,8075.537301
Himadri Speciality Chemical Ltd.,HSCL,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,22282.49,10554.05654
Housing & Urban Development Corporation Ltd.,HUDCO,Financial Services,Financial Services,Finance,Financial Institution,42238.09,10559.09964
Hyundai Motor India Ltd.,HYUNDAI,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,173640.03,30386.65851
